agency,agencyAbbrev,subagency,subagencyAbbrev,NameCombo,url,type,datasets
Federal Deposit Insurance Corporation,FDIC,,,Federal Deposit Insurance Corporation (FDIC),http://catalog.data.gov/organization/fdic-gov,Federal,3
Federal Election Commission,FED,,,Federal Election Commission (FED),http://catalog.data.gov/organization/fec-gov,Federal,4
Federal Geographic Data Committee,FGDC,,,Federal Geographic Data Committee (FGDC),http://catalog.data.gov/organization/fgdc-gov,Federal,372
Federal Government,,Department of Housing and Urban Development,HUD,Federal Government - Department of Housing and Urban Development (HUD),http://catalog.data.gov/organization/hud-gov,Federal,47
Federal Housing Finance Agency,FHFA,,,Federal Housing Finance Agency (FHFA),http://catalog.data.gov/organization/fhfa-gov,Federal,9
Federal Reserve Board,FED,,,Federal Reserve Board (FED),http://catalog.data.gov/organization/frb-gov,Federal,5
Florida,FL,,,Florida (FL),http://www.floridahasarighttoknow.com/,State,
General Services Administration,GSA,,,General Services Administration (GSA),http://catalog.data.gov/organization/gsa-gov,Federal,5
General Services Administration,GSA,Federal Acquisition Service,FAS,General Services Administration (GSA) - Federal Acquisition Service (FAS),http://catalog.data.gov/organization/fas-gsa-gov,Federal,40
General Services Administration,GSA,Office of Citizen Services and Innovative Technologies,OCSIT,General Services Administration (GSA) - Office of Citizen Services and Innovative Technologies (OCSIT),http://catalog.data.gov/organization/ocsit-gsa-gov,Federal,27
General Services Administration,GSA,Office of Governmentwide Policy,OGP,General Services Administration (GSA) - Office of Governmentwide Policy (OGP),http://catalog.data.gov/organization/ogp-gsa-gov,Federal,56
General Services Administration,GSA,Office of Performance Improvement,OPI,General Services Administration (GSA) - Office of Performance Improvement (OPI),http://catalog.data.gov/organization/opi-gsa-gov,Federal,1
General Services Administration,GSA,Office of the Chief Financial Officer,OCFO,General Services Administration (GSA) - Office of the Chief Financial Officer (OCFO),http://catalog.data.gov/organization/ocfo-gsa-gov,Federal,1
General Services Administration,GSA,Office of the Chief People Officer,OCPO,General Services Administration (GSA) - Office of the Chief People Officer (OCPO),http://catalog.data.gov/organization/cpo-gsa-gov,Federal,1
General Services Administration,GSA,Public Buildings Service,PBS,General Services Administration (GSA) - Public Buildings Service (PBS),http://catalog.data.gov/organization/pbs-gsa-gov,Federal,9
Georgia,GA,,,Georgia (GA),http://www.open.georgia.gov/,State,
Gilpin County,GC,,,Gilpin County (GC),http://data.opencolorado.org/group/gilpin-county,City/County,
Great Lakes Commission,GLC,,,Great Lakes Commission (GLC),http://catalog.data.gov/organization/glc-org,Federal,61
Hawaii,HI,,,Hawaii (HI),http://data.hawaii.gov/,State,
Hawaii,HI,Hawaii GIS,,Hawaii (HI) - Hawaii GIS,http://gis.hicentral.com/,State,
Honolulu,HNL,,,Honolulu (HNL),https://data.honolulu.gov/,City/County,
Houston,,,,Houston,http://data.codeforhouston.com/,City/County,
Idaho,ID,Coeur d'Alene Tribe,CDATRIBE,Idaho (ID) - Coeur d'Alene Tribe (CDATRIBE),http://catalog.data.gov/organization/cdatribe-nsn-gov,State,1
Idaho State University,ISU,,,Idaho State University (ISU),http://catalog.data.gov/organization/isu-edu,University/Institution,119
Illinois,IL,,,Illinois (IL),http://data.illinois.gov/,State,
Illinois,IL,South Suburban Mayors and Managers,SSMMA,Illinois (IL) - South Suburban Mayors and Managers (SSMMA),https://data.illinois.gov/ssmma,State,
Indiana,IN,,,Indiana (IN),http://inmap.indiana.edu/viewer.htm,State,
Information Sharing Environment,ISE,,,Information Sharing Environment (ISE),http://catalog.data.gov/organization/ise-gov,Federal,2
Institute of Museum and Library Services,IMLS,,,Institute of Museum and Library Services (IMLS),http://catalog.data.gov/organization/imls-gov,Federal,21
Iowa,IA,,,Iowa (IA),http://data.iowa.gov/,State,
Iowa State University GIS Support and Research Facility,ISU GIS,,,Iowa State University GIS Support and Research Facility (ISU GIS),http://catalog.data.gov/organization/iastate-edu,University/Institution,99
Kansas,KS,,,Kansas (KS),http://www.kansas.gov/KanView/,State,
Kansas,KS,Kansas Data Access and Support Center,DASC,Kansas (KS) - Kansas Data Access and Support Center (DASC),http://catalog.data.gov/organization/kgs-ku-edu,State,148
Kansas City,KC,,,Kansas City (KC),https://data.kcmo.org/,City/County,
Kentucky,KY,,,Kentucky (KY),http://opendoor.ky.gov/search/Pages/spendingsearch.aspx,State,
Kentucky,KY,Kentucky Geography Network,KYGEONET,Kentucky (KY) - Kentucky Geography Network (KYGEONET),http://catalog.data.gov/organization/ky-gov,State,1
King County,,,,King County,http://www.datakc.org/,City/County,
Las Vegas,LV,,,Las Vegas (LV),https://opendata.lasvegasnevada.gov/,City/County,
Lexington,,,,Lexington,http://www.lexingtonky.gov/index.aspx?page=416,City/County,
Los Angeles,LA,,,Los Angeles (LA),https://controllerdata.lacity.org/browse,City/County,
Louisiana,LA,,,Louisiana (LA),http://wwwprd.doa.louisiana.gov/LaTrac/portal.cfm,State,
Louisiana,LA,Louisiana Geographic Information Center,LAGIC,Louisiana (LA) - Louisiana Geographic Information Center (LAGIC),http://catalog.data.gov/organization/lagic-lsu-edu,State,279
Louisville,LVL,,,Louisville (LVL),http://portal.louisvilleky.gov/service/data,City/County,
Madison,,,,Madison,https://data.cityofmadison.com/,City/County,
Maine,ME,,,Maine (ME),http://www.maine.gov/data/,State,
Maryland,MD,,,Maryland (MD),https://data.maryland.gov/,State,
Massachusetts,MA,,,Massachusetts (MA),http://www.mass.gov/data/,State,
Merit Systems Protection Board,MSPB,,,Merit Systems Protection Board (MSPB),http://catalog.data.gov/organization/mspb-gov,Federal,3
Michigan,MI,,,Michigan (MI),http://www.michigan.gov/data/,State,
Millenium Challenge Corporation,MCC,,,Millenium Challenge Corporation (MCC),http://catalog.data.gov/organization/mcc-gov,Federal,3
Minneapolis-St Paul,MSP,MetroGIS (Minneapolis-St. Paul Regional GIS Consortium),METROGIS,Minneapolis-St Paul (MSP) - MetroGIS (Minneapolis-St. Paul Regional GIS Consortium) (METROGIS),http://catalog.data.gov/organization/metc-state-mn-us,City/County,12
Minnesota,MN,Minnesota Department of Natural Resources,DNR,Minnesota (MN) - Minnesota Department of Natural Resources (DNR),http://catalog.data.gov/organization/dnr-state-mn-us,State,178
Minnesota,MN,,,Minnesota (MN),http://catalog.data.gov/organization/state-mn-us,State,242
Missouri,MO,,,Missouri (MO),http://data.mo.gov/,State,
Missouri,MO,Accountability Portal,MAP,Missouri (MO) - Accountability Portal (MAP),http://mapyourtaxes.mo.gov/MAP/Portal/Default.aspx,State,
Missouri,MO,Missouri Spatial Data Information Service,MSDIS,Missouri (MO) - Missouri Spatial Data Information Service (MSDIS),http://catalog.data.gov/organization/missouri-edu,State,1
Montana,MT,,,Montana (MT),http://catalog.data.gov/organization/mt-gov,State,1
Montgomery County,,,,Montgomery County,https://data.montgomerycountymd.gov/,City/County,
National Aeronautics and Space Administration,NASA,Jet Propulsion Laboratory,JPL,National Aeronautics and Space Administration (NASA) - Jet Propulsion Laboratory (JPL),http://catalog.data.gov/organization/jpl-nasa-gov,Federal,2
National Aeronautics and Space Administration,NASA,,,National Aeronautics and Space Administration (NASA),http://catalog.data.gov/organization/nasa-gov,Federal,25
National Archives and Records Administration,NARA,,,National Archives and Records Administration (NARA),http://catalog.data.gov/organization/nara-gov,Federal,7
National Archives and Records Administration,NARA,Office of the Federal Register,OFR,National Archives and Records Administration (NARA) - Office of the Federal Register (OFR),http://catalog.data.gov/organization/gpo-gov,Federal,41
National Capital Planning Commission,NCPC,,,National Capital Planning Commission (NCPC),http://catalog.data.gov/organization/ncpc-gov,Federal,5
National Endowment for the Arts,NEA,,,National Endowment for the Arts (NEA),http://catalog.data.gov/organization/nea-gov,Federal,1
National Endowment for the Humanities,NEH,,,National Endowment for the Humanities (NEH),http://catalog.data.gov/organization/neh-gov,Federal,6
National Labor Relations Board,NLRB,,,National Labor Relations Board (NLRB),http://catalog.data.gov/organization/nlrb-gov,Federal,56
National Science Foundation,NSF,,,National Science Foundation (NSF),http://catalog.data.gov/organization/nsf-gov,Federal,53
National States Geographic Information Council,NSGIC,GIS Inventory (aka Ramona),RAMONA,National States Geographic Information Council (NSGIC) - GIS Inventory (aka Ramona) (RAMONA),http://catalog.data.gov/organization/gis-inventory-ramona-nsgic,Federal,21941
National Transportation Safety Board,NTSB,,,National Transportation Safety Board (NTSB),http://catalog.data.gov/organization/ntsb-gov,Federal,22
Nebraska,NE,,,Nebraska (NE),http://www.nebraska.gov/data/,State,
New Hampshire,NH,,,New Hampshire (NH),http://nhopengov.org/,State,
New Mexico,NM,,,New Mexico (NM),http://www.sunshineportalnm.com/,State,
New Orleans,NO,,,New Orleans (NO),http://data.nola.gov/,City/County,
New York,NY,,,New York (NY),https://data.ny.gov/,State,
New York,NY,NY State Senate,Senate,New York (NY) - NY State Senate (Senate),http://www.nysenate.gov/opendata/,State,
New York,NY,New York State Data Center,SDC,New York (NY) - New York State Data Center (SDC),http://esd.ny.gov/NYSDataCenter.html,State,
New York,NY,NY Department of Health,DOH,New York (NY) - NY Department of Health (DOH),https://health.data.ny.gov/,State,
New York City,NYC,,,New York City (NYC),http://www.nyc.gov/data/,City/County,
North Carolina,NC,NC OpenBook,,North Carolina (NC) - NC OpenBook,http://www.ncopenbook.gov/,State,
North Carolina,NC,,,North Carolina (NC),http://catalog.data.gov/organization/nc-gov,State,4
North Dakota,ND,North Dakota GIS Hub,ND GIS,North Dakota (ND) - North Dakota GIS Hub (ND GIS),http://www.nd.gov/gis/,State,
North Dakota,ND,,,North Dakota (ND),http://catalog.data.gov/organization/nd-gov,State,175
Nuclear Regulatory Commission,NRC,,,Nuclear Regulatory Commission (NRC),http://catalog.data.gov/organization/nrc-gov,Federal,30
Nuna Technologies,,,,Nuna Technologies,http://catalog.data.gov/organization/usa-net,Federal,9
Oak Ridge National Laboratory,ORNL,,,Oak Ridge National Laboratory (ORNL),http://catalog.data.gov/organization/ornl-gov,Federal,73
Occupational Safety and Health Review Commission,OSHRC,,,Occupational Safety and Health Review Commission (OSHRC),http://catalog.data.gov/organization/oshrc-gov,Federal,3
Office of Navajo and Hopi Indian Relocation,ONHIR,,,Office of Navajo and Hopi Indian Relocation (ONHIR),http://catalog.data.gov/organization/onhir-gov,Federal,4
Office of Personnel Management,OPM,,,Office of Personnel Management (OPM),http://catalog.data.gov/organization/opm-gov,Federal,68
Ohio,OH,,,Ohio (OH),http://transparency.ohio.gov/,State,
Oklahoma,OK,,,Oklahoma (OK),http://www.ok.gov/about/data.html,State,
Open Door Kentucky,,,,Open Door Kentucky,http://opendoor.ky.gov/transparency/Pages/default.aspx,City/County,
Oregon,OR,,,Oregon (OR),http://data.oregon.gov/,State,
Oregon State University,OSU,,,Oregon State University (OSU),http://catalog.data.gov/organization/oregonstate-edu,University/Institution,1
Overseas Private Investment Corporation,OPIC,,,Overseas Private Investment Corporation (OPIC),http://catalog.data.gov/organization/opic-gov,Federal,3
Pacific States Marine Fisheries Commission,PSMFC,,,Pacific States Marine Fisheries Commission (PSMFC),http://catalog.data.gov/organization/psmfc-org,Federal,33
Palo Alto,PA,,,Palo Alto (PA),http://data.cityofpaloalto.org/,City/County,
Pension Benefit Guaranty Corporation,PBGC,,,Pension Benefit Guaranty Corporation (PBGC),http://catalog.data.gov/organization/pbgc-gov,Federal,7
Philadelphia,PHILA,,,Philadelphia (PHILA),http://www.opendataphilly.org/,State,
Portland,PDX,,,Portland (PDX),http://civicapps.org/datasets/,City/County,
Providence,,,,Providence,https://data.providenceri.gov/,City/County,
Railroad Retirement Board,RRB,,,Railroad Retirement Board (RRB),http://catalog.data.gov/organization/rrb-gov,Federal,5
Raleigh,,,,Raleigh,http://www.raleighnc.gov/open/,City/County,
Rhode Island,RI,,,Rhode Island (RI),http://www.ri.gov/data/,State,
Rockford,RFD,,,Rockford (RFD),https://data.illinois.gov/rockford,City/County,
San Francisco,SF,,,San Francisco (SF),http://www.datasf.org/,City/County,
San Mateo County,SMC,,,San Mateo County (SMC),https://data.smcgov.org/,City/County,
Santa Cruz,SC,,,Santa Cruz (SC),http://data.cityofsantacruz.com/,City/County,
Scottsdale,SDL,,,Scottsdale (SDL),http://data.scottsdaleaz.gov/,City/County,
Seattle,SEA,,,Seattle (SEA),http://data.seattle.gov/,City/County,
Securities and Exchange Commission,SEC,,,Securities and Exchange Commission (SEC),http://catalog.data.gov/organization/sec-gov,Federal,21
Selective Service System,SSS,,,Selective Service System (SSS),http://catalog.data.gov/organization/sss-gov,Federal,9
Small Business Administration,SBA,,,Small Business Administration (SBA),http://catalog.data.gov/organization/sba-gov,Federal,9
Social Security Administration,SSA,,,Social Security Administration (SSA),http://catalog.data.gov/organization/ssa-gov,Federal,57
Somerville,,,,Somerville,http://data.somervillema.gov/,City/County,
South Bend,SBN,,,South Bend (SBN),https://data.southbendin.gov/,City/County,
South Dakota,SD,,,South Dakota (SD),http://open.sd.gov/,State,
Tennessee,TN,,,Tennessee (TN),http://www.tn.gov/opengov/,State,
Texas,TX,,,Texas (TX),http://www.texas.gov/en/Connect/Pages/open-data.aspx,State,
Texas,TX,Texas Transparency,,Texas (TX) - Texas Transparency,http://www.texastransparency.org/opendata/index.php,State,
Univ of South Carolina,SC,Baruch Institute for Marine and Coastal Sciences,,Univ of South Carolina (SC) - Baruch Institute for Marine and Coastal Sciences,http://catalog.data.gov/organization/belle-baruch-sc-edu,University/Institution,28
University of Alaska,UA,Geographic Information Network of Alaska - University of Alaska,GINA,University of Alaska (UA) - Geographic Information Network of Alaska - University of Alaska (GINA),http://catalog.data.gov/organization/gina-alaska-edu,University/Institution,1
University of Arizona,UA,,,University of Arizona (UA),http://catalog.data.gov/organization/university-of-arizona,University/Institution,6
University of California San Diego,UCSD,,,University of California San Diego (UCSD),http://catalog.data.gov/organization/splash-ucsd-edu,University/Institution,239
University of Idaho,UI,,,University of Idaho (UI),http://catalog.data.gov/organization/uidaho-edu,University/Institution,386
University of New Hampshire,UNH,,,University of New Hampshire (UNH),http://catalog.data.gov/organization/unh-edu,University/Institution,64
University of New Mexico,UNH,Earth Data Analysis Center,EDAC,University of New Mexico (UNH) - Earth Data Analysis Center (EDAC),http://catalog.data.gov/organization/edac-unm-edu,University/Institution,4165
University of Rhode Island,URI,University of Rhode Island Geospatial Extension Program,GEP,University of Rhode Island (URI) - University of Rhode Island Geospatial Extension Program (GEP),http://catalog.data.gov/organization/edc-uri-edu,University/Institution,22
University of Washington,UW,,,University of Washington (UW),http://catalog.data.gov/organization/u-washington-edu,University/Institution,1
US Agency for International Development,USAID,,,US Agency for International Development (USAID),http://catalog.data.gov/organization/usaid-gov,Federal,21
US Consumer Product Safety Commission,CPSC,,,US Consumer Product Safety Commission (CPSC),http://catalog.data.gov/organization/cpsc-gov,Federal,7
US Equal Employment Opportunity Commission,EEOC,,,US Equal Employment Opportunity Commission (EEOC),http://catalog.data.gov/organization/eeoc-gov,Federal,48
US International Trade Commission,USITC,,,US International Trade Commission (USITC),http://catalog.data.gov/dataset?q=organization:((usitc-gov)),Federal,3
US Office of the Special Counsel,OSC,,,US Office of the Special Counsel (OSC),http://catalog.data.gov/organization/osc-gov,Federal,3
Utah,UT,,,Utah (UT),http://www.utah.gov/data/,State,
Virginia,VA,,,Virginia (VA),http://datapoint.apa.virginia.gov/,State,
Virginia,VA,Virginia Department of Environmental Quality,DEQ,Virginia (VA) - Virginia Department of Environmental Quality (DEQ),http://catalog.data.gov/organization/deq-virginia-gov,State,2
Wake County,,,,Wake County,http://www.wakegov.com/data/Pages/default.aspx,City/County,
Washington,WA,,,Washington (WA),http://data.wa.gov/,State,
Weatherford,WF,,,Weatherford (WF),http://tx-weatherford2.civicplus.com/index.aspx?NID=1448,City/County,
Wellington,WEF,,,Wellington (WEF),https://data.wellingtonfl.gov/,City/County,
US Government Printing Office,GPO,,,US Government Printing Office (GPO),http://www.gpo.gov/fdsys/bulkdata,Federal,
US Government Printing Office,GPO,Congressional Committee Prints,,US Government Printing Office (GPO) - Congressional Committee Prints,http://www.gpo.gov/fdsys/browse/collection.action?collectionCode=CPRT,Federal,
United States Postal Service,USPS,,,United States Postal Service (USPS),https://www.usps.com/business/web-tools-apis/welcome.htm,Federal,
